ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00610,72011,ANASCO,PR,1,1,1,1
00612,72017,ARECIBO,PR,0.000719668,0,0,0.00063485
00612,72065,ARECIBO,PR,0.004275675,0.000402253,0,0.003809097
00612,72141,ARECIBO,PR,0.000931335,0.000402253,0.002985075,0.000933602
00612,72013,ARECIBO,PR,0.990940649,0.998793242,0.997014925,0.991821645
00612,72054,ARECIBO,PR,0.003132673,0.000402253,0,0.002800807
00637,72121,SABANA GRANDE,PR,1,1,1,1
00638,72039,CIALES,PR,0.999375,0.990131579,1,0.99896465
00638,72107,CIALES,PR,0.000625,0.009868421,0,0.00103535
00656,72059,GUAYANILLA,PR,1,1,1,1
00660,72097,HORMIGUEROS,PR,0.004363636,0.00330033,0,0.004264686
00660,72067,HORMIGUEROS,PR,0.995636364,0.99669967,1,0.995735314
00677,72117,RINCON,PR,1,1,1,1
00681,72097,MAYAGUEZ,PR,1,1,1,1
00683,72125,SAN GERMAN,PR,0.940099049,0.995500562,0.968379447,0.944167929
00683,72079,SAN GERMAN,PR,0.000943322,0,0,0.000865614
00683,72067,SAN GERMAN,PR,0.010376543,0.001124859,0.003952569,0.009666017
00683,72097,SAN GERMAN,PR,0.00015722,0,0,0.000144269
00683,72023,SAN GERMAN,PR,0.000786102,0.001124859,0,0.000793479
00683,72121,SAN GERMAN,PR,0.047637764,0.002249719,0.027667984,0.044362692
00705,72009,AIBONITO,PR,0.997682204,0.996398559,1,0.997592019
00705,72035,AIBONITO,PR,0.001030131,0.003601441,0,0.001261323
00705,72043,AIBONITO,PR,0.001287664,0,0,0.001146657
00716,72113,PONCE,PR,1,1,1,1
00736,72035,CAYEY,PR,0.998852592,0.999059266,1,0.99888171
00736,72025,CAYEY,PR,0.001147408,0.000940734,0,0.00111829
00742,72037,ROOSEVELT ROADS,PR,0,0,1,1
00757,72133,SANTA ISABEL,PR,0.997878043,1,1,0.997985795
00757,72043,SANTA ISABEL,PR,0.002121957,0,0,0.002014205
00791,72069,HUMACAO,PR,0.997960536,0.988484848,0.996212121,0.997200679
00791,72085,HUMACAO,PR,0.002039464,0.011515152,0.003787879,0.002799321
00786,72009,LA PLATA,PR,0,0,1,1
00840,78010,FREDERIKSTED,VI,1,1,1,1
00910,72127,SAN JUAN,PR,1,1,1,1
00923,72127,SAN JUAN,PR,1,1,1,1
00949,72135,TOA BAJA,PR,0.001928361,0.031886625,0.008097166,0.00352638
00949,72021,TOA BAJA,PR,0.005447621,0.004428698,0,0.00533478
00949,72051,TOA BAJA,PR,0.042472159,0.004428698,0.008097166,0.04014648
00949,72137,TOA BAJA,PR,0.950151858,0.959255979,0.983805668,0.95099236
00979,72031,CAROLINA,PR,1,1,1,1
01007,25015,BELCHERTOWN,MA,1,1,1,1
01010,25013,BRIMFIELD,MA,0.972401644,1,1,0.973491258
01010,25027,BRIMFIELD,MA,0.027598356,0,0,0.026508742
01005,25027,BARRE,MA,1,1,1,1
01021,25013,CHICOPEE,MA,1,1,1,1
01033,25013,GRANBY,MA,0.002000572,0,0,0.001870158
01033,25015,GRANBY,MA,0.997999428,1,1,0.998129842
01056,25013,LUDLOW,MA,1,1,1,1
01057,25013,MONSON,MA,1,1,1,1
01093,25011,WHATELY,MA,0,0,1,1
01094,25027,WHEELWRIGHT,MA,0,1,1,1
01225,25003,CHESHIRE,MA,1,1,1,1
01267,25003,WILLIAMSTOWN,MA,1,1,1,1
01257,25003,SHEFFIELD,MA,1,1,1,1
01339,25011,CHARLEMONT,MA,1,1,1,1
01331,25011,ATHOL,MA,0.001574307,0.00243309,0,0.001554111
01331,25027,ATHOL,MA,0.998425693,0.99756691,1,0.998445889
01368,25027,ROYALSTON,MA,1,1,1,1
01346,25011,HEATH,MA,1,0,1,1
01375,25011,SUNDERLAND,MA,1,1,1,1
01378,25011,WARWICK,MA,1,1,1,1
01380,25011,WENDELL DEPOT,MA,1,1,1,1
01434,25027,DEVENS,MA,0.828478964,0.651315789,0.634615385,0.732330827
01434,25017,DEVENS,MA,0.171521036,0.348684211,0.365384615,0.267669173
01468,25027,TEMPLETON,MA,1,1,1,1
01469,25017,TOWNSEND,MA,1,1,1,1
01538,25027,NORTH UXBRIDGE,MA,1,1,1,1
01561,25027,SOUTH LANCASTER,MA,0,0,1,1
